StationID,RMSE_SR,MAE_SR,Corr_SR,Coverage_SR
100,0.506946161433163,0.404177475052311,0.808187962888563,96
102,0.51628865683049,0.387794703226103,0.807556755817501,92
110,0.493381597733157,0.370667875744631,0.745183057848832,95
114,0.499791366573153,0.381959784981161,0.841301011768809,96
134,0.457570497155904,0.345544409762661,0.771447597187039,95
136,0.468444041315492,0.337602434815157,0.84671747345137,94
137,0.457135361424753,0.33519536908141,0.838181260208632,96
150,0.538234189045565,0.39909453678947,0.811326038804256,94
166,0.478986021742329,0.359575816194078,0.732946106825324,97
214,0.519108004729617,0.387556797075842,0.692749540092213,96
525,0.70164586776558,0.447495249367722,0.721756876878682,91
629,0.473604133463214,0.359948774485623,0.798376858035159,95
677,0.515073625639788,0.39363245733654,0.832977292101542,93
856,0.74756156401706,0.590132148486719,0.492089966218534,84
900,0.58984814612169,0.482992208958286,0.600982312085313,92
1266,0.501452090314604,0.37145432911702,0.832151213073549,93
1297,0.45906680980129,0.334884848136285,0.854268959830682,95
1303,0.525352999023917,0.397914254918281,0.827662357846539,94
