Method,Conditioning,m,NLML,logdetK,quad,relErr_alpha,relErr_logdet,relErr_quad,RMSE,Rep,Seed,ExactRMSE
nlml_vecchia_fullMF,MinMax,10,430.286355235787,89.7777918157299,256.189340061227,0.488592986081403,2.75100854143117,0.0850380543148393,NaN,1,12345,0.980813721696811
nlml_vecchia_fullMF,MinMax,20,424.744489746175,64.9554369631583,269.927963934576,0.382159579081514,1.71390500850469,0.0359715395754228,NaN,1,12345,0.980813721696811
nlml_vecchia_fullMF,MinMax,30,416.290800378875,42.7509488876111,275.225073275523,0.290695502680944,0.78617864383272,0.0170532915798534,NaN,1,12345,0.980813721696811
nlml_vecchia_fullMF,MinMax,40,415.474442286373,37.1341079094416,279.209198068689,0.223159942679247,0.551501246907893,0.00282427419865936,NaN,1,12345,0.980813721696811
nlml_vecchia_fullMF,MinMax,60,411.693342565056,30.3940642993942,278.387042236101,0.188524779638355,0.269895288022229,0.00576054508354878,NaN,1,12345,0.980813721696811
nlml_vecchia_fullMF,Corr,10,418.82125107485,54.0562167550231,268.98070680006,0.359940269516305,1.25852437072327,0.0393546008325933,NaN,1,12345,0.980813721696811
nlml_vecchia_fullMF,Corr,20,412.571230874669,34.9806622838267,275.556220870894,0.222850745310672,0.461528072341869,0.0158706215745454,NaN,1,12345,0.980813721696811
nlml_vecchia_fullMF,Corr,30,411.150741533955,29.7048829690648,277.991021504228,0.163108045837351,0.241100582735127,0.00717490486635394,NaN,1,12345,0.980813721696811
nlml_vecchia_fullMF,Corr,40,410.916290110163,27.294759640776,279.932241984934,0.126122056340838,0.140403149578502,0.000241974450100192,NaN,1,12345,0.980813721696811
nlml_vecchia_fullMF,Corr,60,412.404512583433,25.2773111826544,284.926135389594,0.0869072519487307,0.0561120766387344,0.0175933594673076,NaN,1,12345,0.980813721696811
nlml_vecchia_fullMF,MinMax,10,425.861267601996,63.2815979418041,273.83535866757,0.336170443176712,0.871961486466175,0.0220163850074041,NaN,2,12346,1.19495286580887
nlml_vecchia_fullMF,MinMax,20,426.38532077916,52.763670386909,285.401392576794,0.273736761152536,0.560825928253632,0.0192908870290083,NaN,2,12346,1.19495286580887
nlml_vecchia_fullMF,MinMax,30,415.989716543566,43.5183690024994,273.855485490015,0.198462954651141,0.287336498699354,0.0219445034846208,NaN,2,12346,1.19495286580887
nlml_vecchia_fullMF,MinMax,40,417.644728599101,40.5188587729219,280.165019830663,0.155012996409062,0.198606633925805,0.000589552137019239,NaN,2,12346,1.19495286580887
nlml_vecchia_fullMF,MinMax,60,414.767711936654,36.169023862143,278.760821416547,0.107129515001685,0.0699322058092391,0.00442544317945839,NaN,2,12346,1.19495286580887
nlml_vecchia_fullMF,Corr,10,422.14292516114,51.5555165801625,278.1247551475,0.293495057816037,0.525086985661872,0.00669710887012955,NaN,2,12346,1.19495286580887
nlml_vecchia_fullMF,Corr,20,415.674045596099,40.256494461426,276.486018136155,0.196502348711365,0.190845516910472,0.012549742197599,NaN,2,12346,1.19495286580887
nlml_vecchia_fullMF,Corr,30,414.78579614682,36.8333973780941,278.132616320929,0.146577873548249,0.0895853383934108,0.00666903324525262,NaN,2,12346,1.19495286580887
