NeighbourSelection,m,n_rep,MeanRelKinvy_SD,MeanRelLogdet_SD,MeanRelQuad_SD,MeanRMSE
Corr,10,19,0.303 (0.042),2.4780 (3.921),0.0196 (0.0154),NaN
Corr,20,19,0.197 (0.035),0.9434 (1.454),0.0135 (0.0077),NaN
Corr,30,19,0.141 (0.031),0.4954 (0.777),0.0105 (0.0072),NaN
Corr,40,19,0.109 (0.028),0.2898 (0.460),0.0061 (0.0046),NaN
Corr,60,19,0.070 (0.028),0.1166 (0.177),0.0056 (0.0049),NaN
Nearest-Neighbor,10,19,0.368 (0.053),4.5717 (7.412),0.0308 (0.0192),NaN
Nearest-Neighbor,20,19,0.289 (0.045),2.8051 (4.504),0.0219 (0.0165),NaN
Nearest-Neighbor,30,19,0.218 (0.036),1.3995 (2.234),0.0168 (0.0113),NaN
Nearest-Neighbor,40,19,0.173 (0.028),0.9722 (1.551),0.0113 (0.0113),NaN
Nearest-Neighbor,60,19,0.121 (0.029),0.4112 (0.714),0.0105 (0.0057),NaN
