NoiseLevel,Metric,Stat,GP1,GP2,GP3,Classic,Vecchia_v4,nOK,nFail
sigma_d2=2,MAE,Mean,2.12234508170582,2.33450838150528,2.24370330563517,1.33839532929382,1.51400993257568,93,7
sigma_d2=2,MAE,Std,0.273978727919677,0.334166103477826,0.308196102661782,0.130516757700013,0.191800532236485,93,7
sigma_d2=2,RMSE,Mean,2.65718624335107,2.92184382220762,2.81478365768661,1.69417101838156,1.90715137797427,93,7
sigma_d2=2,RMSE,Std,0.330349475923246,0.400471976062789,0.370328375145358,0.169223694285623,0.235472884083589,93,7
sigma_d2=2,MAPE,Mean,353.004643927478,470.866549165812,415.97389049265,293.551547360599,337.394892423503,93,7
sigma_d2=2,MAPE,Std,280.307199366301,385.304814706254,349.970077364118,186.735605488302,226.998596363516,93,7
sigma_d2=2,COV90,Mean,0.798924731182796,0.630355665839537,0.692183622828784,0.88904052936311,0.913482216708023,93,7
sigma_d2=2,COV90,Std,0.0638476789704761,0.0701890716384009,0.0553378298214367,0.0433585893961889,0.0562833060528142,93,7
sigma_d2=2,COV95,Mean,0.87191894127378,0.703391232423491,0.764433416046319,0.939330024813896,0.955376344086021,93,7
sigma_d2=2,COV95,Std,0.0529390414563329,0.067753776112507,0.0510239124630206,0.0316457970004846,0.0360316897767999,93,7
sigma_d2=4,MAE,Mean,3.46505349927685,4.0016768273868,3.91723367171337,2.27331858345432,2.67768913898129,93,7
sigma_d2=4,MAE,Std,0.462975511616652,0.54724340227732,0.524647101554756,0.329902216894748,0.450976198044337,93,7
sigma_d2=4,RMSE,Mean,4.32927150419607,5.01953120880306,4.912230797917,2.89740523938758,3.36423678836539,93,7
sigma_d2=4,RMSE,Std,0.556709877439597,0.654906621388998,0.62954347876683,0.419188166701073,0.558303470563571,93,7
sigma_d2=4,MAPE,Mean,382.582691898239,910.702897153113,770.37950134131,648.115466639034,579.099547751522,93,7
sigma_d2=4,MAPE,Std,595.829846286835,2688.64094414231,2078.13791940338,2435.47358201748,2234.81048830269,93,7
sigma_d2=4,COV90,Mean,0.842349048800662,0.591397849462366,0.631555004135649,0.877212572373863,0.926840363937138,93,7
sigma_d2=4,COV90,Std,0.0566644633308357,0.0665820846269233,0.0529292427689113,0.0645511420147344,0.0713625216614796,93,7
sigma_d2=4,COV95,Mean,0.908478081058726,0.66298593879239,0.696898263027295,0.931596360628619,0.961703887510339,93,7
sigma_d2=4,COV95,Std,0.0467511487134604,0.0630099825747439,0.0509532809127326,0.0498449146898831,0.0477763647889432,93,7
