Conditioning,m,NLML,logdetK,quad,relErr_alpha,relErr_logdet,relErr_quad,RMSE,Rep,Seed,ExactRMSE
MinMax,10,420.825667486188,67.500862638547,259.544893739212,0.490533433817697,1.82025488360157,0.0730539161328537,1.09475833706071,1,12345,0.980814462582819
MinMax,20,413.360060941735,48.0177184288571,264.096824859997,0.334871526038632,1.00622924811416,0.0567970186626053,1.37183881683187,1,12345,0.980814462582819
MinMax,30,416.770283295444,33.6904350618903,285.244552934382,0.261473132800496,0.407620736978527,0.0187305844384412,1.31728723554462,1,12345,0.980814462582819
MinMax,40,414.813656851756,30.1347127707817,284.887022338114,0.225191370843146,0.259059033257374,0.0174536894038349,1.13408683285688,1,12345,0.980814462582819
MinMax,60,409.761995109153,23.5850496314903,281.333361992199,0.135307857976985,0.0145925725516362,0.00476204483482368,1.09434263078911,1,12345,0.980814462582819
Corr,10,426.217253138642,55.6748756828626,282.154051999804,0.339381048033819,1.32615308754347,0.00769308068630401,0.938370900785833,1,12345,0.980814462582819
Corr,20,416.187231979085,26.5191893288127,291.249696034742,0.22320979425944,0.107998776463468,0.0401775248877231,1.0206881926481,1,12345,0.980814462582819
Corr,30,413.056251304323,24.055550300196,287.451373713832,0.150836787504188,0.00506542523960229,0.0266120875180726,1.08779323290614,1,12345,0.980814462582819
Corr,40,413.907544823356,23.1643196679504,290.045191384145,0.129968234001634,0.032171099521057,0.0358757224026708,1.10264229924357,1,12345,0.980814462582819
Corr,60,411.780520508342,23.2820663372822,285.673396084784,0.0835440817555222,0.0272515235892778,0.0202621671759462,1.07646318107166,1,12345,0.980814462582819
MinMax,10,422.909821321818,52.8822927549397,278.33177129408,0.340949439309675,0.564339097214738,0.0059580835084175,1.50438226516989,2,12346,1.19495286893762
MinMax,20,429.477750341766,45.9619081200776,298.388013968838,0.28435823990419,0.359623535764962,0.0656713456916432,1.30768033075341,2,12346,1.19495286893762
MinMax,30,416.636765142965,39.0668400743674,279.601111616946,0.200204331007505,0.155656877741176,0.00142472577726359,1.21646567152337,2,12346,1.19495286893762
MinMax,40,416.355075499699,37.499234965333,280.605337439449,0.164606416378686,0.109284721140099,0.00216179457055689,1.20523379433827,2,12346,1.19495286893762
MinMax,60,412.740726049073,33.3790395009247,277.496834002604,0.107266482803488,0.0125969620730157,0.00894000203503973,1.23196393755986,2,12346,1.19495286893762
Corr,10,429.851673361332,58.6988640826244,286.398904045423,0.340655537973821,0.736402172879803,0.0228531012997465,1.56080146119298,2,12346,1.19495286893762
Corr,20,414.782711697224,36.3065932899538,278.653251509877,0.225294952819679,0.0740045563709723,0.00480994002361304,1.22412276365001,2,12346,1.19495286893762
Corr,30,419.295351392003,34.9321152310933,289.053008958295,0.157992851089972,0.0333453932801605,0.0323320462361963,1.16234185033243,2,12346,1.19495286893762
Corr,40,415.4235924061,33.5854808790381,282.656125338546,0.11163930135871,0.00649011037953526,0.0094860361548288,1.2814517819365,2,12346,1.19495286893762
Corr,60,413.948027177801,33.3179718363012,279.972503924684,0.060394674695498,0.0144034369887078,9.8324843452237e-05,1.19945814082415,2,12346,1.19495286893762
MinMax,10,404.711695401001,6.46284957809439,288.354962629291,0.301813377461359,1.68996830597759,0.0298391355962185,1.0526738365806,3,12347,0.97566048827048
MinMax,20,404.228840353428,-0.828941923805587,294.681044036045,0.204057976411073,0.911502867580188,0.0524322831121808,1.09968164097502,3,12347,0.97566048827048
MinMax,30,398.315002953475,-5.10714352302728,287.13157083536,0.164346239047453,0.454765715589107,0.0254698792599682,1.10612756531886,3,12347,0.97566048827048
MinMax,40,397.863185926604,-6.63205064434288,287.752843902935,0.138477230112416,0.291967932575021,0.0276887116082882,1.02277678954845,3,12347,0.97566048827048
MinMax,60,394.018072429102,-9.50671749303717,282.937283756624,0.0784547299266244,0.0149290471359561,0.0104902827923999,1.00419481383494,3,12347,0.97566048827048
Corr,10,406.39474119666,20.4254426421924,277.758461156511,0.407146190679154,3.18060282672264,0.00800551190895175,1.01399151702322,3,12347,0.97566048827048
Corr,20,400.43476334562,-9.05146557682463,295.315413673447,0.245789429847672,0.0336732589562179,0.0546978889234118,1.04936966353589,3,12347,0.97566048827048
Corr,30,393.633254126918,-9.93219769844416,282.593127357664,0.151857335918178,0.0603529507877897,0.0092611528159854,0.962508139212176,3,12347,0.97566048827048
Corr,40,393.138367657509,-10.6529436931195,282.32410041352,0.124135369575407,0.137299178141095,0.00830034231672337,1.06953646430282,3,12347,0.97566048827048
Corr,60,391.878162197824,-10.4418770475733,279.592622848605,0.0610746865395973,0.114765883173268,0.00145493454309941,1.00233516988988,3,12347,0.97566048827048
MinMax,10,404.90439600222,12.9241867095498,282.279026700273,0.316169709369349,3.76523727261707,0.0081394386792123,1.36183576863036,4,12348,1.05374460780736
MinMax,20,399.664043374421,5.17883945606195,279.543668698163,0.24961482947583,2.1080557883167,0.00162969760083421,1.39713026350521,4,12348,1.05374460780736
MinMax,30,396.185079757488,0.550331388544464,277.214249531816,0.192396144535392,1.11774797920319,0.00994905224174318,1.3797226281124,4,12348,1.05374460780736
MinMax,40,394.964009820968,-1.11023581083828,276.432676858158,0.173538460249787,0.762455811377613,0.012740383378593,1.42284112280937,4,12348,1.05374460780736
MinMax,60,395.040791168345,-4.69873660208765,280.17474034416,0.0859881701906255,0.00533378836922616,0.00062412983508547,1.07736589579136,4,12348,1.05374460780736
Corr,10,413.512966617248,29.0484226355492,283.37193200433,0.3969840115174,7.21515169872939,0.0120426721310242,1.24394048225973,4,12348,1.05374460780736
Corr,20,404.306435991184,-1.41839651178714,295.425689899539,0.260402737651643,0.696522265587072,0.0550918099309585,1.51063987906763,4,12348,1.05374460780736
Corr,30,401.889510983613,-3.45865065264104,292.632094025251,0.232584855257305,0.259992917730175,0.0451146812383907,1.52049749864819,4,12348,1.05374460780736
Corr,40,399.770624295902,-4.85985713438174,289.795527131569,0.16027457930597,0.0398068667374237,0.0349840846106446,1.12772304394371,4,12348,1.05374460780736
Corr,60,395.818412248062,-5.6238764494675,282.655122350975,0.107925740141955,0.203275155656016,0.00948263750847166,1.08787183256887,4,12348,1.05374460780736
MinMax,10,419.941531277953,26.3105130602928,298.966970900997,0.393547376984457,3.95550742642782,0.0677392090577361,1.31440817252315,6,12350,1.21497454652488
MinMax,20,411.584060460483,12.2745324805792,296.28800984577,0.330918448079328,2.37882039088893,0.0581714907590088,1.43676803873382,6,12350,1.21497454652488
MinMax,30,405.472751955922,0.451506938162538,295.888418379066,0.246570207553072,1.05071858940056,0.0567443783414764,1.3763139163311,6,12350,1.21497454652488
MinMax,40,399.641979904864,-2.35191500224005,287.030296217351,0.220031436468329,0.735805142244151,0.0251082269559828,1.44587588719624,6,12350,1.21497454652488
MinMax,60,396.831171744379,-8.92231573547929,287.97908062962,0.137825417091413,0.0022598326651332,0.0284967428006264,1.28663336638621,6,12350,1.21497454652488
Corr,10,420.01742142117,24.359639749762,301.069624497962,0.448908452804928,3.7363623058412,0.0752486863815361,1.42267545076571,6,12350,1.21497454652488
Corr,20,395.95279127965,-4.06396953560051,281.363973500283,0.271936646933228,0.543486966000272,0.00487135959249365,1.24801115450734,6,12350,1.21497454652488
Corr,30,394.031116770328,-7.70620570198662,281.162860648026,0.175152333166347,0.134348002655467,0.00415309938751686,1.25838269073955,6,12350,1.21497454652488
Corr,40,393.507416501493,-9.21734095193983,281.626595360308,0.107244542175736,0.0354005477942707,0.00580929483082346,1.33008915019598,6,12350,1.21497454652488
Corr,60,392.604401633325,-9.6240921798219,280.227316851856,0.072586947642187,0.0810916474683533,0.000811871458722574,1.20478818104723,6,12350,1.21497454652488
MinMax,10,380.396488887794,-31.1769065630216,277.364305743992,0.325537767183844,0.435214529877901,0.0094132056255771,1.14830652789349,7,12351,0.987382856089842
MinMax,20,378.911121252259,-42.0227655153043,285.239429425205,0.269621767322278,0.23873629574455,0.0187122357564699,1.07539691747759,7,12351,0.987382856089842
