"","Time","daily_mean_wind"
"1",2016-01-01,0.759319858156028
"2",2016-01-02,1.07293404255319
"3",2016-01-03,1.4628219858156
"4",2016-01-04,1.15837730496454
"5",2016-01-05,0.931289361702128
"6",2016-01-06,1.25103262411348
"7",2016-01-07,1.09415531914894
"8",2016-01-08,1.1694475177305
"9",2016-01-09,0.744595744680851
"10",2016-01-10,1.10197517730496
"11",2016-01-11,1.75275106382979
"12",2016-01-12,2.27654468085106
"13",2016-01-13,2.60569219858156
"14",2016-01-14,1.21055035460993
"15",2016-01-15,2.34485177304965
"16",2016-01-16,2.27209219858156
"17",2016-01-17,2.35884184397163
"18",2016-01-18,1.1180170212766
"19",2016-01-19,0.922930496453901
"20",2016-01-20,0.716136170212766
"21",2016-01-21,1.11710780141844
"22",2016-01-22,0.978558156028369
"23",2016-01-23,1.02877517730496
"24",2016-01-24,1.08124539007092
"25",2016-01-25,1.37619716312057
"26",2016-01-26,1.40869432624113
"27",2016-01-27,1.04570567375887
"28",2016-01-28,1.04390212765957
"29",2016-01-29,1.09673120567376
"30",2016-01-30,0.950004964539007
"31",2016-01-31,1.27851134751773
"32",2016-02-01,1.57613404255319
"33",2016-02-02,0.819473758865248
"34",2016-02-03,1.55889645390071
"35",2016-02-04,2.07216808510638
"36",2016-02-05,1.68291205673759
"37",2016-02-06,1.04899503546099
"38",2016-02-07,2.49051914893617
"39",2016-02-08,1.13340141843972
"40",2016-02-09,1.87558794326241
"41",2016-02-10,3.1467865248227
"42",2016-02-11,1.46130354609929
"43",2016-02-12,1.41530780141844
"44",2016-02-13,1.50984397163121
"45",2016-02-14,1.23262411347518
"46",2016-02-15,1.3757
"47",2016-02-16,2.06156453900709
"48",2016-02-17,1.23146737588652
"49",2016-02-18,1.65169645390071
"50",2016-02-19,1.65782127659574
"51",2016-02-20,1.55933120567376
"52",2016-02-21,1.71690709219858
"53",2016-02-22,1.27662056737589
"54",2016-02-23,1.21387446808511
"55",2016-02-24,2.51754680851064
"56",2016-02-25,1.21291134751773
"57",2016-02-26,2.02617446808511
"58",2016-02-27,2.87983829787234
"59",2016-02-28,3.4861914893617
"60",2016-02-29,2.64183475177305
"61",2016-03-01,1.62632056737589
"62",2016-03-02,1.57685390070922
"63",2016-03-03,2.51371276595745
"64",2016-03-04,1.69450141843972
"65",2016-03-05,2.68521843971631
"66",2016-03-06,1.12148936170213
"67",2016-03-07,1.20504113475177
"68",2016-03-08,1.58406666666667
"69",2016-03-09,1.48894893617021
"70",2016-03-10,1.35764893617021
"71",2016-03-11,1.34767872340426
"72",2016-03-12,1.59467446808511
"73",2016-03-13,1.98528368794326
"74",2016-03-14,1.65234539007092
"75",2016-03-15,2.03234113475177
"76",2016-03-16,3.60162836879433
"77",2016-03-17,1.4232304964539
"78",2016-03-18,1.54167943262411
"79",2016-03-19,1.64058368794326
"80",2016-03-20,1.65622695035461
"81",2016-03-21,1.16162907801418
"82",2016-03-22,2.0661390070922
"83",2016-03-23,1.98025035460993
"84",2016-03-24,1.46685460992908
"85",2016-03-25,1.43754609929078
"86",2016-03-26,1.22410638297872
"87",2016-03-27,1.42579787234043
"88",2016-03-28,1.22618794326241
"89",2016-03-29,1.79390070921986
"90",2016-03-30,1.27728865248227
"91",2016-03-31,1.37619361702128
"92",2016-04-01,1.26802411347518
"93",2016-04-02,1.92849219858156
"94",2016-04-03,1.2461914893617
"95",2016-04-04,1.74415957446809
"96",2016-04-05,1.51240425531915
"97",2016-04-06,1.09774680851064
"98",2016-04-07,1.77431843971631
"99",2016-04-08,1.39470070921986
"100",2016-04-09,1.31058936170213
"101",2016-04-10,1.3983
"102",2016-04-11,1.73676808510638
"103",2016-04-12,1.61762907801418
"104",2016-04-13,1.31351063829787
"105",2016-04-14,1.70820567375887
"106",2016-04-15,1.47609574468085
"107",2016-04-16,1.49207446808511
"108",2016-04-17,2.32965035460993
"109",2016-04-18,1.76236312056738
"110",2016-04-19,1.76296808510638
"111",2016-04-20,2.08902482269504
"112",2016-04-21,1.51034609929078
"113",2016-04-22,1.56659929078014
"114",2016-04-23,1.02741063829787
"115",2016-04-24,2.60120709219858
"116",2016-04-25,2.00350425531915
"117",2016-04-26,1.64648226950355
"118",2016-04-27,2.5872914893617
"119",2016-04-28,2.29550425531915
"120",2016-04-29,1.77522056737589
"121",2016-04-30,1.76809361702128
"122",2016-05-01,2.0018
"123",2016-05-02,1.71896382978723
"124",2016-05-03,2.08244893617021
"125",2016-05-04,1.88969716312057
"126",2016-05-05,2.11713687943262
"127",2016-05-06,1.26763829787234
"128",2016-05-07,1.15478794326241
"129",2016-05-08,1.61241418439716
"130",2016-05-09,1.0115829787234
"131",2016-05-10,1.11502056737589
"132",2016-05-11,2.4651170212766
"133",2016-05-12,1.29616879432624
"134",2016-05-13,1.35211134751773
"135",2016-05-14,1.46796028368794
"136",2016-05-15,1.86051560283688
"137",2016-05-16,1.8760780141844
"138",2016-05-17,1.30314113475177
"139",2016-05-18,1.3527524822695
"140",2016-05-19,2.06865035460993
"141",2016-05-20,1.44114184397163
"142",2016-05-21,1.23200780141844
"143",2016-05-22,1.40889716312057
"144",2016-05-23,1.92893475177305
"145",2016-05-24,1.9643829787234
"146",2016-05-25,1.71651134751773
"147",2016-05-26,1.10484893617021
"148",2016-05-27,1.15950212765957
"149",2016-05-28,1.22975390070922
"150",2016-05-29,1.11548936170213
"151",2016-05-30,1.32065035460993
"152",2016-05-31,1.48358439716312
"153",2016-06-01,1.15916879432624
"154",2016-06-02,0.868870212765957
"155",2016-06-03,0.948551773049645
