Station,Config,RMSE,MAE,Corr,PICP_95,NLML
677,Const_W_RhoC,0.130367391,0.086709967,0.990909447,92,3355.235243
677,Adap_W_RhoC,0.130583666,0.087290118,0.990917825,89,3275.894113
677,Const_RhoA,0.236942909,0.19506356,0.965631999,97,2856.155449
677,Adap_RhoA,0.261938156,0.21614667,0.957013709,95,2778.068945
856,Const_RhoC,0.596042211,0.479676235,0.47750596,94,2670.67721
856,Adap_RhoC,0.768355697,0.614511198,0.466699766,16,2621.985559
856,Const_W_RhoC,0.619174295,0.512298475,0.494766349,90,3215.802025
856,Adap_W_RhoC,0.73005276,0.603927603,0.49356149,45,3181.408391
856,Const_RhoA,0.608688311,0.501717762,0.548816562,91,2677.191342
856,Adap_RhoA,0.661121402,0.547997231,0.538552949,55,2636.772542
900,Const_RhoC,0.418437118,0.339186758,0.822904207,56,2638.245748
900,Adap_RhoC,0.419581289,0.340058591,0.822803366,15,2588.359668
900,Const_W_RhoC,0.418935208,0.336476661,0.810413873,65,3191.92379
900,Adap_W_RhoC,0.422021043,0.339276207,0.810473352,31,3142.465497
900,Const_RhoA,0.421656284,0.337658891,0.793001645,64,2652.135682
900,Adap_RhoA,0.420968552,0.340100789,0.797921702,51,2599.593184
1266,Const_RhoC,0.132739362,0.092779861,0.989812545,97,2881.088027
1266,Adap_RhoC,0.127646809,0.090155636,0.990487906,40,2831.841177
1266,Const_W_RhoC,0.138516651,0.099428526,0.987860875,96,3380.374342
1266,Adap_W_RhoC,0.135231564,0.097633844,0.988436793,95,3333.214292
1266,Const_RhoA,0.218719744,0.172367396,0.968367873,97,2881.490465
1266,Adap_RhoA,0.229241344,0.183386502,0.965355264,98,2831.342887
1297,Const_RhoC,0.083304352,0.062172413,0.996321427,100,2900.154788
1297,Adap_RhoC,0.081751193,0.061040593,0.996426693,99,2842.168705
1297,Const_W_RhoC,0.095396461,0.072486875,0.995103853,100,3393.049469
1297,Adap_W_RhoC,0.095423579,0.072629447,0.995203735,100,3335.755822
1297,Const_RhoA,0.235741438,0.189654247,0.963293799,98,2886.458916
1297,Adap_RhoA,0.20778205,0.164576809,0.971964846,98,2830.163611
1303,Const_RhoC,0.071039467,0.054810467,0.997684849,100,2917.697805
1303,Adap_RhoC,0.069672401,0.053803797,0.997766213,100,2855.67518
1303,Const_W_RhoC,0.083047762,0.063972974,0.996802787,100,3411.252219
1303,Adap_W_RhoC,0.082578245,0.063769377,0.996862059,99,3349.998261
1303,Const_RhoA,0.302658635,0.245582696,0.954051562,91,2905.703714
1303,Adap_RhoA,0.297669325,0.241657096,0.956415239,91,2845.22941
